,Unnamed: 0,stationId,id,stationName,rackTotCnt,stationLatitude,stationLongitude,address_name,region_1depth_name,region_2depth_name,region_3depth_name,main_address_no,sub_address_no,username,areaid
795,794,ST-507,1101,개화동상사마을종점 버스정류장,12,37.58161163,126.79859924,서울 강서구 개화동 424-2,서울,강서구,개화동,424.0,2.0,bike1,1
796,795,ST-508,1102,방화사거리 마을버스 버스정류장,12,37.57364273,126.81180573,서울 강서구 방화동 450-15,서울,강서구,방화동,450.0,15.0,bike1,1
797,796,ST-831,1103,방화역 4번출구앞,12,37.57722092,126.81219482,서울 강서구 방화동 829-8,서울,강서구,방화동,829.0,8.0,bike1,1
798,797,ST-509,1105,방화근린공원,12,37.58162308,126.81265259,서울 강서구 방화동 855,서울,강서구,방화동,855.0,,bike1,1
800,799,ST-510,1108,공항시장역 2번출구 뒤,10,37.56387329,126.81060791,서울 강서구 방화동 614-286,서울,강서구,방화동,614.0,286.0,bike1,1
801,800,ST-511,1109,공항시장역 4번출구,8,37.56334686,126.81048584,서울 강서구 공항동 45-125,서울,강서구,공항동,45.0,125.0,bike1,1
802,801,ST-828,1110,공항중학교앞,12,37.56268311,126.8162384,서울 강서구 공항동 12-3,서울,강서구,공항동,12.0,3.0,bike1,1
831,830,ST-1062,1150,송정역 1번출구,12,37.56155014,126.81047821,서울 강서구 공항동 29-5,서울,강서구,공항동,29.0,5.0,bike1,1
858,857,ST-1645,1184,마곡13단지,17,37.55644989,126.815979,서울 강서구 공항동 660-15,서울,강서구,공항동,660.0,15.0,bike1,1
872,871,ST-1695,1200,개화광역환승센터,12,37.57844925,126.79897308,서울 강서구 개화동 488-11,서울,강서구,개화동,488.0,11.0,bike1,1
1281,1279,ST-626,1816,금천폭포공원 앞,22,37.44686127,126.90383148,서울 금천구 시흥동 1001-1,서울,금천구,시흥동,1001.0,1.0,bike1,1
1283,1281,ST-628,1820,신한은행 시흥대로금융센터지점,12,37.4433403,126.90335846,서울 금천구 시흥동 984,서울,금천구,시흥동,984.0,,bike1,1
1316,1314,ST-1648,1858,석수역1번출구 앞 (SK주유소),12,37.43727112,126.90268707,서울 금천구 시흥동 980-1,서울,금천구,시흥동,980.0,1.0,bike1,1
1318,1316,ST-1932,1861,IBK기업은행 석수역 지점 앞,10,37.4369812,126.90329742,서울 금천구 시흥동 966-2,서울,금천구,시흥동,966.0,2.0,bike1,1
1325,1323,ST-1939,1868,우리은행 시흥남자동화점 앞,15,37.44785309,126.90288544,서울 금천구 시흥동 986-4,서울,금천구,시흥동,986.0,4.0,bike1,1
1510,1508,ST-742,2202,청계산입구역 1번출구,22,37.44893646,127.05437469,서울 서초구 신원동 276-2,서울,서초구,신원동,276.0,2.0,bike1,1
1511,1509,ST-925,2203,청계산입구역 2번출구,22,37.44765854,127.05501556,서울 서초구 원지동 353-4,서울,서초구,원지동,353.0,4.0,bike1,1
1560,1558,ST-1162,2270,서초포레스타 7단지,12,37.44896698,127.05773926,서울 서초구 신원동 266,서울,서초구,신원동,266.0,,bike1,1
1701,1699,ST-1552,2501,서초 포레스타5단지,12,37.45066071,127.05706024,서울 서초구 신원동 347,서울,서초구,신원동,347.0,,bike1,1
1736,1734,ST-1925,2541,옛골 입구,15,37.43097687,127.07033539,서울 서초구 신원동 66-8,서울,서초구,신원동,66.0,8.0,bike1,1
